Time,Day,Junction,RoadType,Weather,CarCount,BikeCount,BusCount,TruckCount,Total,IsHoliday,Traffic
04:00:00,Friday,J4,Highway,Rainy,29,23,2,0,54,0,Low
04:00:00,Friday,J3,Highway,Rainy,76,49,7,6,138,1,Medium
01:00:00,Saturday,J4,Highway,Sunny,61,34,6,5,106,1,Medium
20:00:00,Saturday,J3,Highway,Cloudy,130,64,12,11,217,1,High
05:45:00,Tuesday,J3,Residential,Sunny,75,25,5,5,110,1,Medium
12:30:00,Monday,J2,Residential,Rainy,91,45,9,7,152,1,High
16:15:00,Sunday,J1,Residential,Rainy,28,14,1,2,45,0,Low
18:00:00,Sunday,J1,Highway,Rainy,135,66,13,15,229,1,High
13:30:00,Friday,J4,Highway,Rainy,83,44,7,7,141,1,Medium
08:15:00,Thursday,J4,City,Sunny,146,82,17,14,259,1,High
04:15:00,Monday,J4,Residential,Cloudy,13,0,1,3,17,0,Low
15:30:00,Saturday,J4,Residential,Sunny,44,31,6,7,88,1,Medium
23:15:00,Tuesday,J3,City,Cloudy,101,44,5,10,160,1,High
12:30:00,Tuesday,J2,City,Rainy,63,34,5,4,106,0,Medium
23:00:00,Tuesday,J2,Residential,Rainy,83,41,10,10,144,1,Medium
23:30:00,Saturday,J3,Residential,Cloudy,68,28,4,4,104,1,Medium
21:45:00,Friday,J4,City,Rainy,114,52,12,11,189,1,High
09:00:00,Sunday,J4,City,Cloudy,140,75,12,17,244,1,High
14:45:00,Wednesday,J1,Highway,Rainy,40,29,5,4,78,0,Low
01:45:00,Saturday,J4,City,Rainy,55,44,7,8,114,0,Medium
12:15:00,Friday,J2,City,Cloudy,36,20,1,3,60,0,Low
10:45:00,Tuesday,J3,Highway,Rainy,160,69,13,13,255,1,High
01:00:00,Tuesday,J2,Residential,Rainy,78,36,6,7,127,1,Medium
11:15:00,Wednesday,J4,City,Cloudy,105,48,4,11,168,1,High
03:45:00,Sunday,J1,Residential,Rainy,38,11,5,4,58,0,Low
13:30:00,Monday,J4,Residential,Rainy,55,19,4,1,79,0,Low
02:15:00,Thursday,J2,Highway,Sunny,46,30,3,5,84,1,Medium
10:15:00,Tuesday,J4,Highway,Cloudy,79,42,4,7,132,0,Medium
13:45:00,Monday,J1,Residential,Sunny,23,6,0,3,32,0,Low
